title,summary,url
"The Anchor, Bankside","The Anchor is a pub in the London Borough of Southwark. It is in the Bankside locality on the south bank of the River Thames, close to Southwark Cathedral and London Bridge station. A tavern establishment (under various names) has been at the pub's location for over 800 years. Behind the pub are buildings that were operated by the Anchor Brewery.
The Anchor started life as the ""brewery tap room"" for the Anchor Brewery, first established in 1616. Michelin's travel guide incorrectly states that the Anchor was rebuilt in 1676 after the Great Fire of London in 1666 destroyed it.  This was impossible as the fire never reached the southern side of the Thames outside of the limits of the City of London. The book The Rough Guide to London states that the establishment was first built in 1770. The establishment was also rebuilt again in the 19th century.
The establishment has been described as ""Bankside's oldest surviving tavern"" in the book Secret Bankside: Walks in the Outlaw Borough.

","https://en.wikipedia.org/wiki/The_Anchor,_Bankside"
Elateropsis lineata,Elateropsis lineata is a species of beetle in the family Cerambycidae found in South America in countries such as Chile.,https://en.wikipedia.org/wiki/Elateropsis_lineata
Environmental Protection Agency (Netherlands),"The Dutch Environmental Protection Agencies (Dutch: Omgevingsdiensten) are government agencies in the Netherlands responsible for permits, surveillance, and law enforcement in the natural environment. There are 28 regional environmental protection agencies, and they work on behalf of municipal and provincial governments. They enforce the Environment and Planning Act in the regions in which they are active, and the six largest agencies also enforce the European Seveso III-directive.",https://en.wikipedia.org/wiki/Environmental_Protection_Agency_(Netherlands)
Calvoliopsis,Calvoliopsis is a genus of mites in the family Acaridae.,https://en.wikipedia.org/wiki/Calvoliopsis
Ngande - Ande,"Pedukuhan Ngande - Ande is located in Kelurahan Purwodadi, Kecamatan Tepus, Gunungkidul, Yogyakarta Special Region, Indonesia. The name of Ngande - Ande comes from the tree, called Ande-ande Tree.",https://en.wikipedia.org/wiki/Ngande_-_Ande
Frölunda Specialist Hospital,"Frölunda specialist hospital (Swedish: Frölunda Specialistsjukhus) is located in Frölunda, right next to Frölunda torg, approximately nine kilometres south-west of central Gothenburg. The hospital primarily operate with elective care, with specialist in otolaryngology, neurology, gynaecology, orthopedic surgery, medicine, dermatology, ophthalmology, surgery, and radiography. The hospital was inaugurated in 1968 as a local hospital for people living in Tynnered, Frölunda, and Älvsborg. Today, 190 people work at the hospital which is owned by Västra Götaland Regional Council.
The 17-storey building is 55 metres (180 ft) high. The hospital occupies the bottom five floors; the rest are residential.",https://en.wikipedia.org/wiki/Fr%C3%B6lunda_Specialist_Hospital
Worth (magazine),"Worth is an American financial, wealth management, and life-style magazine founded in 1986 and purchased by Clarim Holdings in 2019. The magazine addresses financial, legal and life-style issues for high-net-worth individuals. The content focuses on various topics including business, technology, philanthropy, finance, climate and sustainability and life-style.",https://en.wikipedia.org/wiki/Worth_(magazine)
List of Sega CD games,"The Sega CD, originally released as the Mega-CD (メガCD, Mega-Shī Dī) in most regions outside of North America and Brazil, is an add-on device for the Sega Genesis video game console, designed and produced by Sega. It was released in Japan in 1991, North America in 1992 and in PAL regions in 1993. The device adds a CD-ROM drive to the console, allowing the user to play CD-based games and providing additional hardware functionality.  It can also play audio CDs and CD+G discs. While the add-on did contain a faster central processing unit than the Genesis, as well as some enhanced graphics capabilities, the main focus of the device was to expand the size of games. The Sega CD sold 2.24 million units worldwide and was officially discontinued in 1996.
There are 207 games on this list. 57 were released only in Japan, 38 were released only in North America, and 4 were released only in Europe.  Of the games released, there are six titles (marked with a † in the title for the game) that were also released in formats that used a combination of the Sega CD and the 32X. Games that were announced or reported to be in development for the Sega CD, but never released, are located at the list of cancelled Sega CD games.

",https://en.wikipedia.org/wiki/List_of_Sega_CD_games
Rake (geology),"In structural geology, rake (or pitch) is formally defined as ""the angle between a line [or a feature] and the strike line of the plane in which it is found"", measured on the plane.  The three-dimensional orientation of a line can be described with just a plunge and trend.  The rake is a useful description of a line because often (in geology) features (lines) follow along a planar surface.  In these cases the rake can be used to describe the line's orientation in three dimensions relative to that planar surface.  One might also expect to see this used when the particular line is hard to measure directly (possibly due to outcrops impeding measurement).  The rake always sweeps down from the horizontal plane.",https://en.wikipedia.org/wiki/Rake_(geology)
AMJ Highway,"Lebuhraya Alor Gajah–Melaka Tengah–Jasin (Alor Gajah–Central Malacca–Jasin Highway), or popularly known as Lebuh AMJ (Alor Gajah–Central Malacca (Malacca)–Jasin), Federal Routes 19 (Malaccan side) and 5 (Johorean side) is a divided highway across Malacca state, Malaysia.",https://en.wikipedia.org/wiki/AMJ_Highway
Asia Cooperation Dialogue,"The Asia Cooperation Dialogue (ACD) is an intergovernmental organization created on 18 June 2002 to promote Asian cooperation at a continental level and to ensure coordination among different regional organizations such as the ASEAN, the Gulf Cooperation Council, the  Eurasian Economic Union, the Shanghai Cooperation Organisation, and the SAARC. It is the first international organization to cover the whole of Asia. Its secretariat is in Kuwait City.",https://en.wikipedia.org/wiki/Asia_Cooperation_Dialogue
Khao Yai–Khao Na Pha Tang and Khao Ta Phrom Non-hunting Area,"Khao Noi–Khao Pradu Non-hunting Area (Thai: เขตห้ามล่าสัตว์ป่าเขาน้อย-เขาประดู่, RTGS: Khet Hamla Satpa Khao Noi-Khao Pradu) is a non-hunting area in Mueang Phitsanulok District, Wang Thong District and Wat Bot District of Phitsanulok Province. It covers an area of 129 km2 (50 sq mi) and was established in 1998.

",https://en.wikipedia.org/wiki/Khao_Noi%E2%80%93Khao_Pradu_Non-hunting_Area
Gonbad Kavous University,"Located in the historic city of Gonbad-e Kavus, Gonbad Kavous University is the major higher education institution in the eastern part of Golestan Province, Iran. Officially accredited/recognized by the Ministry of Science Research and Technology, Iran, the university is a public and coeducational higher education institution and it offers courses and programs leading to officially recognized higher education degrees such as bachelor, Master and Ph.D. degrees in several areas of study. Gonbad Kavous University also provides several academic and non-academic facilities and services to students including a library, as well as administrative services.

",https://en.wikipedia.org/wiki/Gonbad_Kavous_University
Radkovy,"Radkovy is a municipality and village in Přerov District in the Olomouc Region of the Czech Republic. It has about 100 inhabitants.
Radkovy lies approximately 13 kilometres (8 mi) east of Přerov, 33 km (21 mi) south-east of Olomouc, and 242 km (150 mi) east of Prague.",https://en.wikipedia.org/wiki/Radkovy
Niabella drilacis,Niabella drilacis is a Gram-negative and rod-shaped bacterium from the genus of Niabella which has been isolated from a leech (Hirudo verbana) from Biebertal in Germany.,https://en.wikipedia.org/wiki/Niabella_drilacis
Eubranchus prietoi,"Eubranchus prietoi is a species of sea slug or nudibranch, a marine gastropod mollusc in the family Eubranchidae.",https://en.wikipedia.org/wiki/Eubranchus_prietoi
Tingena paula,"Tingena paula is a species of moth in the family Oecophoridae. It is endemic to New Zealand and has been observed in Canterbury. Adults of this species are on the wing in November.

",https://en.wikipedia.org/wiki/Tingena_paula
"Hamilton Hotel (Washington, D.C.)","The Hamilton Hotel is a AAA 4-diamond hotel in downtown Washington, D.C., United States, located at 1001 14th Street, N.W., just to the north of Franklin Square. It is a member of Historic Hotels of America, the official program of the National Trust for Historic Preservation.

","https://en.wikipedia.org/wiki/Hamilton_Hotel_(Washington,_D.C.)"
Mehtimäki Stadium,"Mehtimäki Stadium is a pesäpallo stadium located in Joensuu, Finland. Since its opening in 2018, it has been the home field of the Joensuun Maila, a Superpesis team.
The venue will have 2500 covered seats and with various temporary solutions, the Mehtimäki Stadium will have up to 5000 seats. At 2018, the pitch surface was resurfaced in the club's colours in black and red.",https://en.wikipedia.org/wiki/Mehtim%C3%A4ki_Stadium
Tractors in India,"Tractors in India are a major industry and significant contributor to its agriculture output gains.
In 1947, as India gained independence from the British Empire, the level of agriculture mechanisation was low. The socialist oriented five-year plans of the 1950s and 1960s aggressively promoted rural mechanisation via joint ventures and tie-ups between local industrialists and international tractor manufacturers. Despite these efforts, the first three decades after independence local production of 4-wheel tractors grew slowly. By the late 1980s tractor production was nearly 140,000 units per year, and a prevalence rate of less than 2 per 1,000 farmers.
After economic reforms of 1991, the pace of change increased and by late 1990s with production approached 270,000 per year. In early 2000s, India overtook the United States as the world's largest producer of four-wheel tractors. FAO estimated, in 1999, that of total agricultural area in India, less than 50% is under mechanised land preparation, indicating large opportunities still exist for agricultural mechanisation.
In 2013, India produced 619,000 tractors accounting for 29% of world's output, as the world's largest producer and market for tractors. India currently has 16 domestic and 4 multinational corporations manufacturing tractors.",https://en.wikipedia.org/wiki/Tractors_in_India
National Division One (shinty),"The National Division One (currently known as the Mowi National Division' for sponsorship reasons) is the second tier of the Shinty league system
Initially formed in 1999, the league folded in 2006 due to financial constraints before its reinstatement in 2014.",https://en.wikipedia.org/wiki/National_Division_One_(shinty)
1982 Uganda Cup,"1982 Uganda Cup was the eighth season of the main Ugandan football Cup.

",https://en.wikipedia.org/wiki/1982_Uganda_Cup
"Doo Lough, County Mayo","Doo Lough (Irish: Dúloch, meaning 'black lake') is a freshwater lake in the west of Ireland. It is located in southwest County Mayo on the Murrisk peninsula.

","https://en.wikipedia.org/wiki/Doo_Lough,_County_Mayo"
"Biskupice, Gniezno County","Biskupice [biskuˈpit͡sɛ] is a village in the administrative district of Gmina Kłecko, within Gniezno County, Greater Poland Voivodeship, in west-central Poland.","https://en.wikipedia.org/wiki/Biskupice,_Gniezno_County"
"Cameron Village, Baltimore","Cameron Village is a neighborhood in the North District of Baltimore, located between the neighborhoods of Mid-Govans and Woodbourne Heights. Vaguely bell-shaped, its boundaries are marked by Bradhurst Road and E. Belvedere Avenue (north), Woodbourne Avenue (south), Lothian Road (west) and Northwood Drive (east).

","https://en.wikipedia.org/wiki/Cameron_Village,_Baltimore"
Lumbriculus,Lumbriculus is a genus of oligochaete annelids.,https://en.wikipedia.org/wiki/Lumbriculus
Gorur Parbat,"Gorur Parbat is a mountain of the Garhwal Himalaya in Uttarakhand India. It is situated just outside of the northern rim of Nanda Devi Sanctuary. The elevation of Gorur Parbat is 6,502 metres (21,332 ft) and its prominence is 577 metres (1,893 ft). It is joint 88th highest located entirely within the Uttrakhand. Nanda Devi, is the highest mountain in this category. It lies 3.1 km SSE of Lampak I 6,325 metres (20,751 ft). Rishi Pahar 6,992 metres (22,940 ft) lies 8.6 km SSE and it is 6.6 km NNW of Hardeol 7,151 metres (23,461 ft). It lies 4.5 km NW of Tirsuli West 7,030 metres (23,064 ft).

",https://en.wikipedia.org/wiki/Gorur_Parbat
Inspiration Lake,"The Inspiration Lake (Chinese: 迪欣湖), officially known as The Inspiration Lake Recreation Centre (Chinese: 迪欣湖活動中心), is a 12-hectare artificial lake located in Penny's Bay, Lantau Island, New Territories, Hong Kong. The lake, opened on 16 August 2005, was created as part of the development of adjacent Hong Kong Disneyland Resort as a dual-purpose project for recreation and an irrigation reservoir.
Inspiration Lake was built by the Hong Kong Government and managed by the Hong Kong International Theme Parks. It opens daily from 09:00 - 19:00; entrance is free.

",https://en.wikipedia.org/wiki/Inspiration_Lake
Puncturella harrisoni,"Puncturella harrisoni is a species of sea snail, a marine gastropod mollusk in the family Fissurellidae, the keyhole limpets and slit limpets.",https://en.wikipedia.org/wiki/Puncturella_harrisoni
Eastbourne Buses,"Eastbourne Buses was a bus operator running within the Borough of Eastbourne and into the surrounding area, including Pevensey, Hailsham, Tunbridge Wells, Uckfield, and East Grinstead, with a fleet of around 50 vehicles. Eastbourne Buses was sold to the Stagecoach Group on 18 December 2008 for £3.7 million, beating Go-Ahead to the ownership.

",https://en.wikipedia.org/wiki/Eastbourne_Buses
Wolf Creek (St. Francis River tributary),"Wolf Creek is a stream in eastern St. Francois County in the U.S. state of Missouri. It is a tributary of the St. Francis River.
The stream headwaters arise just northeast of Farmington at 37°47′32″N 90°22′19″W at the confluence of Camp Creek and Taylor Branch. The stream flows south passing under Missouri Route 32. It flows southwest to its confluence with the St. Francis at 37°43′39″N 90°24′21″W at an elevation of 814 feet.
Wolf Creek was so named due to the presence of wolves in the area.",https://en.wikipedia.org/wiki/Wolf_Creek_(St._Francis_River_tributary)
Kalisil River,"The River Kalisil originates in the hills near Rajpura village in Sawai Madhopur District. The river flows generally southwest, partly through hills and partly in the plains of Sawai Madhopur District, for about 48 km, before joining the Morel River.",https://en.wikipedia.org/wiki/Kalisil_River
NTT Medical Center Tokyo,"NTT Medical Center Tokyo (NTT東日本関東病院) is a private hospital located in the Gotanda district of Shinagawa, Tokyo, Japan. It was founded as Kanto Teishin Hospital for employees of the NTT Public Corporation in 1952, and was opened to the general public in 1986. The present hospital building was renovated in 2000. It was accredited by the Joint Commission International in 2011.",https://en.wikipedia.org/wiki/NTT_Medical_Center_Tokyo
Avis-Amur Flight 9209,"On 9 August 2011, Avis-Amur Flight 9209, an Antonov An-12 cargo aircraft of Avis Amur crashed during a domestic flight from Magadan to Keperveyem, Russia, killing all 11 people on board. An engine fire was reported en route and the aircraft crashed while attempting to return to Magadan.",https://en.wikipedia.org/wiki/Avis-Amur_Flight_9209
Jarala railway station,"Jarala railway station (Urdu and Punjabi: جرالہ ریلوے اسٹیشن) is located in Jarala village, Jhang district of Punjab province, Pakistan.",https://en.wikipedia.org/wiki/Jarala_railway_station
Cordana johnstonii,Cordana johnstonii is an ascomycete fungus that is a plant pathogen. It produces cordana leaf spot on bananas.,https://en.wikipedia.org/wiki/Cordana_johnstonii
"Wayside, Roberts County, Texas","Wayside is a small unincorporated community in Roberts County, Texas, United States. It is part of the Pampa micropolitan statistical area and lies at an elevation of 3222 ft (982 m).","https://en.wikipedia.org/wiki/Wayside,_Roberts_County,_Texas"
Turn It Down (Sweet song),"""Turn It Down"" is a song by the British glam rock band the Sweet, from their 1974 album Desolation Boulevard. The song was removed from the US version of Desolation Boulevard however, along with two other songs. ""Turn It Down"" was the second single released from the album. In the UK, the single reached number 41 on the charts but fared better in Europe, reaching the top five in Norway and Germany.",https://en.wikipedia.org/wiki/Turn_It_Down_(Sweet_song)
Angelfire,"Angelfire is an Internet service that offers website services. It is owned by Lycos, which also owns Tripod.com. Angelfire operates separately from Tripod.com and includes features such as blog building and a photo gallery builder. Free webpages are no longer available to new registrants and have been replaced by paid services.

",https://en.wikipedia.org/wiki/Angelfire
Pănășești,"Pănășești is a commune in Strășeni District, Moldova. It is composed of two villages, Ciobanca and Pănășești.

",https://en.wikipedia.org/wiki/P%C4%83n%C4%83%C8%99e%C8%99ti
FC Flora U19,"FC Flora U19 Tallinn, commonly known as Flora U19 Tallinn, or simply as Flora U19, is a football club, based in Tallinn, Estonia.
Founded as FC Flora III, it is the reserve team of Flora U21, and currently plays in the II Liiga.
Reserve teams in Estonia play in the same league system as the senior team, rather than in a reserve team league. They must play at least one level below their main side, however, so Flora U19 is ineligible for promotion to the Esiliiga but can play in the Estonian Cup.

",https://en.wikipedia.org/wiki/FC_Flora_U19
Sony FE 24-70mm F2.8 GM,"The Sony FE 24-70mm F2.8 GM II is the second generation premium constant maximum aperture full-frame (FE) standard zoom lens for the Sony E-mount, released in April 2022.",https://en.wikipedia.org/wiki/Sony_FE_24-70mm_F2.8_GM_II
Godfrey-Barnette House,"Godfrey-Barnette House is a historic home located at Brevard, Transylvania County, North Carolina.  It was built about 1918, and is a 2+1⁄2-story, five-bay, English Manorial Revival style stone dwelling with a modified T-plan.  It has a clipped gable roof, porch, and sun room.  Also on the property is a contributing stone fence.
It was listed on the National Register of Historic Places in 1993.",https://en.wikipedia.org/wiki/Godfrey-Barnette_House
Canadian Fisherman,Canadian Fisherman is a Canadian game fishing television series which aired on CBC Television in 1968.,https://en.wikipedia.org/wiki/Canadian_Fisherman
Weesp train disaster,"The Weesp train disaster took place on 13 September 1918 near Weesp, Netherlands. With 41 deaths and 42 injuries, it was the largest train disaster in Dutch railway history until the 1962 Harmelen train disaster.
The 102 train from Amersfoort to Amsterdam derailed near the railway bridge over the Merwedekanaal near Weesp and dropped off the bank. Various wooden carriages were splintered, causing many casualties.",https://en.wikipedia.org/wiki/Weesp_train_disaster
Hombres y Héroes,"Hombres y Héroes was a series of comics whose original series were published every Wednesday in Mexico after 1987. Its themes revolved around historical events or individuals, as well as fictitious or mythological characters. The first of the series lasted from 1987 until 1994 reaching over 400 individual titles.  When its publishing house Novedades Editores disappeared, the publishing house that followed it, NIESA, revived the series, republishing some of the previous titles. The new version, however, was smaller and of lower quality than the original.  It was also published biweekly, usually on Mondays, rather than weekly as the previous series had been. This new version began in 1998.",https://en.wikipedia.org/wiki/Hombres_y_H%C3%A9roes
Newton Purcell with Shelswell,"Newton Purcell with Shelswell is a civil parish in Oxfordshire, England. It was formed in 1932 by merger of the parishes of Newton Purcell (grid reference SP6230) and Shelswell (grid reference SP6030).

",https://en.wikipedia.org/wiki/Newton_Purcell_with_Shelswell
Vanuatu national rugby union team,"The Vanuatu national rugby union team represents Vanuatu in the sport of rugby union. The team is classified as a tier three nation by the International Rugby Board (IRB), and has yet to qualify for a Rugby World Cup. Its international debut was in 1966. It became affiliated with World Rugby in 1999. The team is nicknamed the Tuskers, after the pig tusks prized as currency in some parts of the country. The tusks also appear on the country's flag. 

",https://en.wikipedia.org/wiki/Vanuatu_national_rugby_union_team
Pseudocallopistus,"Pseudocallopistus resplendens is a species of beetles in the family Buprestidae, the only species in the genus Pseudocallopistus.",https://en.wikipedia.org/wiki/Pseudocallopistus
Japan Racing Association Plate,"The Japan Racing Association Plate is an Australian Turf Club Group 3 Thoroughbred quality handicap horse race for horses three years old and older, held over a distance of 2000 metres at Randwick Racecourse, Sydney, Australia in April. Prizemoney is A$200,000.

",https://en.wikipedia.org/wiki/Japan_Racing_Association_Plate
Cuban identity,"Cuban identity refers to the unique conditions of being considered Cuban. Despite the definition of being Cuban often being tied directly to Cuban nationality, many still consider themselves Cuban despite their loss of official Cuban nationality by birth or having never been born in Cuba at all. Being Cuban has been considered a mere national origin to a broader ethnicity. There are three main concepts that have been used to describe what is Cuban. Cubanidad is the whole general condition of being Cuban, Cubaneo is the condition of being Cuban based on the practice of customs and other cultural expressions considered to be Cuban, and Cubanía is the condition of being Cuban based solely of off the personal want to be considered Cuban. Differing views exist on to what extent Cubanidad can be claimed and to what degrees it exists for those who do not reside in Cuba, usually based on that persons relationship to life and family in Cuba.
Cuban culture and people were formed from a mixture of indigenous people, African slaves, and European migrants. Most often residing in Cuba meant defining oneself in relation to the foreign power that controlled Cuba, such as the Spanish Empire. The origins of a Cuban identity can be traced to the earliest debates about Cuban self-determination, and expanded more greatly with the Cuban independence movement. As more Cubans began emigrating during the Cuban exile the idea of Cuban identity began to expand to those outside Cuba and the idea of being Cuban took on a racialized definition.

",https://en.wikipedia.org/wiki/Cuban_identity
Pecel ayam,"Pecel ayam (Javanese: pecel pitik) is a traditional chicken dish of the Kemiren Banyuwangi Osing tribe of East Java, Indonesia.",https://en.wikipedia.org/wiki/Pecel_ayam
Rosa corymbifera,"Rosa corymbifera, the thicket dog rose, is a species of flowering plant in the family Rosaceae. It is native to northwestern Africa, nearly all of Europe, the Caucasus, the Middle East, and Central Asia. It primarily differs from the dog rose Rosa canina in having downier leaves, particularly on the abaxial surfaces (the undersides). The most widely used rootstock in Europe for garden roses is its cultivar 'Laxa'.",https://en.wikipedia.org/wiki/Rosa_corymbifera
Malaysia Federal Route 175,"Federal Route 175 (formerly Kedah state route K8, K11, K13 and K10) is a federal road in Kedah, Malaysia. The Kilometre Zero of the Federal Route 175 starts at Kepala Batas near Sultan Abdul Halim Airport.",https://en.wikipedia.org/wiki/Malaysia_Federal_Route_175
Point Douglas to Superior Military Road,"Point Douglas to Superior Military Road, also known as Point Douglas to St. Louis River Military Road was a road that ran between Point Douglas, located at the outlet of the Lower St. Croix Lake near Hastings, Minnesota, first to the falls of the St. Louis River near Thomson, Minnesota, and later extended to the mouth of the St. Louis River in Superior, Wisconsin. From Douglas Point immediately east of Hastings, Minnesota, the route connected Stillwater, Taylors Falls, Sunrise, Chengwatana, Fortuna, Scotts Corner, to Thomson and Superior. Several discontinuous sections of this road are still in use.",https://en.wikipedia.org/wiki/Point_Douglas_to_Superior_Military_Road
Jangipara Assembly constituency,Jangipara Assembly constituency is an assembly constituency in Hooghly district in the Indian state of West Bengal.,https://en.wikipedia.org/wiki/Jangipara_Assembly_constituency
Seleninyl fluoride,Seleninyl fluoride is an oxyfluoride of selenium with the chemical formula SeOF2.,https://en.wikipedia.org/wiki/Seleninyl_fluoride
